;ценв в usd;цена в byn;год выпуска/объем/тип двигателя/пробег;ссылка на авто
0;14700$;36375p.;2009г.автомат, 3.0л, дизель, седан385412км;https://cars.av.by/bmw/5-seriya/102550357
1;14600$;36128p.;2008г.автомат, 3.0л, дизель, седан320000км;https://cars.av.by/bmw/5-seriya/102539357
2;11399$;28207p.;2008г.автомат, 2.5л, бензин, седан299000км;https://cars.av.by/bmw/5-seriya/102431133
3;14000$;34643p.;2009г.автомат, 3.0л, бензин, седан280000км;https://cars.av.by/bmw/5-seriya/102537727
4;9700$;24003p.;2007г.автомат, 2.5л, бензин, седан420000км;https://cars.av.by/bmw/5-seriya/102519581
5;12500$;30931p.;2008г.механика, 2.0л, дизель, универсал320000км;https://cars.av.by/bmw/5-seriya/102519588
6;11500$;28457p.;2008г.автомат, 3.0л, бензин, седан221000км;https://cars.av.by/bmw/5-seriya/102521558
7;12500$;30931p.;2007г.автомат, 3.0л, дизель, универсал322000км;https://cars.av.by/bmw/5-seriya/102304454
8;11500$;28457p.;2007г.механика, 2.0л, дизель, седан306000км;https://cars.av.by/bmw/5-seriya/102516695
9;13899$;34393p.;2007г.автомат, 3.0л, дизель, седан486000км;https://cars.av.by/bmw/5-seriya/102515953
10;9800$;24250p.;2008г.автомат, 2.0л, бензин, седан361000км;https://cars.av.by/bmw/5-seriya/102508693
11;11230$;27789p.;2009г.механика, 2.0л, дизель, универсал332000км;https://cars.av.by/bmw/5-seriya/102424073
12;11500$;28457p.;2009г.автомат, 2.5л, бензин, седан365000км;https://cars.av.by/bmw/5-seriya/102506014
13;6900$;17074p.;2008г.автомат, 3.0л, бензин, седан300000км;https://cars.av.by/bmw/5-seriya/102328704
14;10800$;26725p.;2008г.механика, 2.0л, дизель, универсал379914км;https://cars.av.by/bmw/5-seriya/101555430
15;11850$;29323p.;2008г.автомат, 2.0л, бензин, седан245000км;https://cars.av.by/bmw/5-seriya/102049765
16;12499$;30929p.;2008г.автомат, 3.0л, бензин, седан306000км;https://cars.av.by/bmw/5-seriya/102486607
17;16500$;40829p.;2009г.механика, 2.0л, дизель, универсал285000км;https://cars.av.by/bmw/5-seriya/102434981
18;12500$;30931p.;2008г.механика, 2.0л, дизель, седан300000км;https://cars.av.by/bmw/5-seriya/102386203
19;15700$;38850p.;2007г.автомат, 3.0л, бензин, седан268000км;https://cars.av.by/bmw/5-seriya/100852646
20;14500$;35880p.;2008г.автомат, 3.0л, дизель, седан346535км;https://cars.av.by/bmw/5-seriya/102375999
21;13000$;32169p.;2007г.автомат, 3.0л, дизель, универсал400000км;https://cars.av.by/bmw/5-seriya/100665534
22;14000$;34643p.;2008г.автомат, 2.0л, дизель, универсал188000км;https://cars.av.by/bmw/5-seriya/102329222
23;14900$;36870p.;2007г.автомат, 3.0л, дизель, седан296000км;https://cars.av.by/bmw/5-seriya/102327667
24;10000$;24745p.;2007г.механика, 2.0л, дизель, седан380000км;https://cars.av.by/bmw/5-seriya/102327427
25;13850$;34272p.;2008г.автомат, 3.0л, бензин, седан188000км;https://cars.av.by/bmw/5-seriya/102305829
26;17999$;44539p.;2007г.автомат, 4.8л, бензин, седан305000км;https://cars.av.by/bmw/5-seriya/102302708
27;11200$;27714p.;2007г.автомат, 3.0л, бензин, седан340000км;https://cars.av.by/bmw/5-seriya/102297224
28;14800$;36623p.;2008г.автомат, 3.0л, дизель, седан267000км;https://cars.av.by/bmw/5-seriya/102269019
29;13800$;34148p.;2009г.автомат, 3.0л, бензин, седан250000км;https://cars.av.by/bmw/5-seriya/101923294
30;17500$;43304p.;2008г.автомат, 2.5л, дизель, седан266500км;https://cars.av.by/bmw/5-seriya/102008145
31;14000$;34643p.;2007г.автомат, 3.0л, дизель, седан384000км;https://cars.av.by/bmw/5-seriya/102242535
32;10300$;25487p.;2008г.автомат, 2.5л, бензин, седан219000км;https://cars.av.by/bmw/5-seriya/102209622
33;10300$;25487p.;2009г.автомат, 3.0л, бензин, седан218000км;https://cars.av.by/bmw/5-seriya/102191349
34;11000$;27220p.;2007г.автомат, 3.0л, бензин, седан288000км;https://cars.av.by/bmw/5-seriya/102188826
35;14950$;36994p.;2010г.автомат, 2.0л, дизель, седан211100км;https://cars.av.by/bmw/5-seriya/101654632
36;13500$;33406p.;2007г.автомат, 3.0л, дизель, седан400000км;https://cars.av.by/bmw/5-seriya/102153281
37;13250$;32787p.;2008г.автомат, 3.0л, бензин, седан235000км;https://cars.av.by/bmw/5-seriya/102153169
38;9900$;24498p.;2007г.автомат, 3.5л, бензин, седан200000км;https://cars.av.by/bmw/5-seriya/101891336
39;11650$;28828p.;2007г.механика, 3.0л, дизель, седан401000км;https://cars.av.by/bmw/5-seriya/102074463
40;14600$;36128p.;2007г.автомат, 3.0л, дизель, седан420500км;https://cars.av.by/bmw/5-seriya/102045259
41;12500$;30931p.;2007г.автомат, 2.5л, бензин, седан340000км;https://cars.av.by/bmw/5-seriya/102031276
42;12000$;29694p.;2008г.автомат, 3.0л, бензин, седан348037км;https://cars.av.by/bmw/5-seriya/101399271
43;12900$;31921p.;2008г.автомат, 2.5л, бензин, седан216000км;https://cars.av.by/bmw/5-seriya/101343670
44;9000$;22271p.;2007г.автомат, 3.0л, бензин, седан280000км;https://cars.av.by/bmw/5-seriya/100177192
45;12000$;29694p.;2008г.автомат, 2.5л, бензин, седан196000км;https://cars.av.by/bmw/5-seriya/101964097
46;10300$;25487p.;2008г.автомат, 2.8л, бензин, седан201000км;https://cars.av.by/bmw/5-seriya/102003525
47;13800$;34148p.;2009г.автомат, 3.5л, бензин, седан155000км;https://cars.av.by/bmw/5-seriya/102002974
48;11300$;27962p.;2008г.автомат, 3.0л, бензин, седан240500км;https://cars.av.by/bmw/5-seriya/102002046
49;13999$;34641p.;2007г.автомат, 3.0л, дизель, седан370000км;https://cars.av.by/bmw/5-seriya/101844910
50;12500$;30931p.;2007г.автомат, 2.5л, бензин, седан246000км;https://cars.av.by/bmw/5-seriya/101992440
51;13900$;34396p.;2008г.автомат, 3.0л, дизель, седан266000км;https://cars.av.by/bmw/5-seriya/101982655
52;12000$;29694p.;2008г.механика, 3.0л, бензин, универсал284000км;https://cars.av.by/bmw/5-seriya/101964179
53;10900$;26972p.;2007г.механика, 2.5л, бензин, универсал283000км;https://cars.av.by/bmw/5-seriya/101701004
54;13900$;34396p.;2008г.автомат, 2.5л, дизель, седан320000км;https://cars.av.by/bmw/5-seriya/100598505
55;13150$;32540p.;2008г.механика, 3.0л, бензин, седан335000км;https://cars.av.by/bmw/5-seriya/100184673
56;15900$;39345p.;2008г.автомат, 3.0л, дизель, универсал380300км;https://cars.av.by/bmw/5-seriya/101934655
57;12500$;30931p.;2009г.автомат, 2.0л, дизель, седан345000км;https://cars.av.by/bmw/5-seriya/101930815
58;12500$;30931p.;2007г.механика, 2.0л, дизель, седан258000км;https://cars.av.by/bmw/5-seriya/101917223
59;10500$;25982p.;2007г.автомат, 2.0л, бензин, универсал251200км;https://cars.av.by/bmw/5-seriya/101916856
60;16000$;39592p.;2007г.механика, 3.0л, дизель, седан290000км;https://cars.av.by/bmw/5-seriya/100481302
61;8700$;21528p.;2008г.механика, 2.0л, бензин, седан310000км;https://cars.av.by/bmw/5-seriya/101908742
62;13900$;34396p.;2008г.автомат, 3.5л, бензин, седан248000км;https://cars.av.by/bmw/5-seriya/100716686
63;12800$;31674p.;2009г.автомат, 3.5л, бензин, седан257000км;https://cars.av.by/bmw/5-seriya/101845155
64;13500$;33406p.;2007г.автомат, 3.0л, дизель, универсал275000км;https://cars.av.by/bmw/5-seriya/101844364
65;13999$;34641p.;2008г.автомат, 3.0л, дизель, седан260000км;https://cars.av.by/bmw/5-seriya/101648179
66;9900$;24498p.;2009г.автомат, 2.0л, бензин, седан218000км;https://cars.av.by/bmw/5-seriya/101837480
67;11900$;29447p.;2008г.автомат, 2.5л, бензин, седан160000км;https://cars.av.by/bmw/5-seriya/101832183
68;14000$;34643p.;2007г.автомат, 3.0л, бензин, седан212000км;https://cars.av.by/bmw/5-seriya/101830567
69;12400$;30684p.;2008г.автомат, 2.0л, дизель, универсал270000км;https://cars.av.by/bmw/5-seriya/101818714
70;12000$;29694p.;2008г.автомат, 2.5л, бензин, седан219000км;https://cars.av.by/bmw/5-seriya/101803820
71;12999$;32166p.;2007г.автомат, 4.0л, бензин, седан343000км;https://cars.av.by/bmw/5-seriya/101676220
72;12600$;31179p.;2008г.автомат, 2.0л, дизель, седан347178км;https://cars.av.by/bmw/5-seriya/101668283
73;11000$;27220p.;2007г.автомат, 3.0л, бензин, седан290000км;https://cars.av.by/bmw/5-seriya/101225138
74;13100$;32416p.;2007г.автомат, 3.0л, дизель, седан290000км;https://cars.av.by/bmw/5-seriya/101612388
75;13850$;34272p.;2007г.автомат, 3.0л, дизель, универсал390000км;https://cars.av.by/bmw/5-seriya/101412242
76;12200$;30189p.;2007г.механика, 3.0л, бензин, седан256412км;https://cars.av.by/bmw/5-seriya/101456766
77;12500$;30931p.;2009г.автомат, 3.0л, дизель, универсал252804км;https://cars.av.by/bmw/5-seriya/101559470
78;12300$;30436p.;2007г.механика, 2.5л, бензин, седан263000км;https://cars.av.by/bmw/5-seriya/101557738
79;18800$;46521p.;2008г.автомат, 3.0л, бензин, седан443000км;https://cars.av.by/bmw/5-seriya/101425071
80;10500$;25982p.;2008г.механика, 2.0л, бензин, универсал200000км;https://cars.av.by/bmw/5-seriya/101412408
81;13500$;33406p.;2008г.автомат, 3.0л, дизель, универсал406817км;https://cars.av.by/bmw/5-seriya/101403438
82;11000$;27220p.;2008г.механика, 2.5л, бензин, седан320000км;https://cars.av.by/bmw/5-seriya/101170737
83;12000$;29694p.;2008г.механика, 2.0л, дизель, седан333000км;https://cars.av.by/bmw/5-seriya/101389788
84;12500$;30931p.;2007г.автомат, 2.8л, бензин, седан260000км;https://cars.av.by/bmw/5-seriya/101387748
85;14000$;34643p.;2007г.автомат, 3.5л, дизель, седан420000км;https://cars.av.by/bmw/5-seriya/100503913
86;10950$;27096p.;2009г.автомат, 3.0л, бензин, седан250000км;https://cars.av.by/bmw/5-seriya/101313924
87;10500$;25982p.;2008г.автомат, 2.5л, бензин, седан317194км;https://cars.av.by/bmw/5-seriya/101217354
88;12500$;30931p.;2007г.механика, 3.0л, дизель, универсал265000км;https://cars.av.by/bmw/5-seriya/100942989
89;12500$;30931p.;2008г.автомат, 3.0л, бензин, седан283000км;https://cars.av.by/bmw/5-seriya/100493403
90;11800$;29199p.;2008г.автомат, 3.5л, бензин, седан265000км;https://cars.av.by/bmw/5-seriya/100850223
91;14000$;34643p.;2009г.механика, 2.0л, дизель, универсал316000км;https://cars.av.by/bmw/5-seriya/100629569
92;10500$;25982p.;2007г.механика, 2.0л, дизель, седан470000км;https://cars.av.by/bmw/5-seriya/100561047
93;14450$;35757p.;2009г.автомат, 3.0л, бензин, седан200000км;https://cars.av.by/bmw/5-seriya/17644706
